brand_id,key,value
1,GENDER,FEMALE
1,GENDER,MALE
1,GENDER,NEUTRAL
1,PIECE,ALL
1,STYLE,CASUAL
1,STYLE,ACTIVE
1,PRICE,MASSMARKET
1,PRICE,CONTEMPRORARY
1,MUSIC,POPINDIE
1,MUSIC,CLUBDANCE
1,MOOD,CHILLRELAXED
1,PERSONALITY,ADVENTUROUS
1,PERSONALITY,OPENKIND
3,GENDER,FEMALE
3,GENDER,MALE
3,GENDER,NEUTRAL
3,PIECE,ALL
3,STYLE,CASUAL
3,STYLE,FORMAL
3,PRICE,CONTEMPRORARY
3,MUSIC,POPINDIE
3,MUSIC,ROCK
3,MUSIC,CLUBDANCE
3,MOOD,FOCUSED
3,MOOD,SADDISAPOINTEDCONFUSED
3,PERSONALITY,SELFCENTERED
5,GENDER,FEMALE
5,GENDER,MALE
5,GENDER,NEUTRAL
5,PIECE,ALL
5,STYLE,CASUAL
5,PRICE,MASSMARKET
5,MUSIC,POPINDIE
5,MUSIC,COUNTRYLATIN
5,PERSONALITY,ADVENTUROUS
5,PERSONALITY,OPENKIND
5,PERSONALITY,CLOSEDINTROVERT
11,GENDER,FEMALE
11,GENDER,MALE
11,GENDER,ALL
11,PIECE,CLOTHING
11,PIECE,ACCESSORIES
11,STYLE,CASUAL
11,STYLE,FORMAL
11,STYLE,ACTIVE
11,STYLE,AVANTGARDE
11,PRICE,CONTEMPRORARY
11,PRICE,LUXURY
11,MUSIC,POPINDIE
11,MUSIC,ROCK
11,MUSIC,CLUBDANCE
11,MOOD,FUNEXCITED
11,PERSONALITY,ADVENTUROUS
11,PERSONALITY,SELFCENTERED
12,GENDER,FEMALE
12,GENDER,MALE
12,GENDER,ALL
12,PRICE,LUXURY
12,MOOD,FUNEXCITED
12,MOOD,FOCUSED
12,MOOD,SADDISAPOINTEDCONFUSED
12,PERSONALITY,SELFCENTERED
12,PERSONALITY,CLOSEDINTROVERT
13,GENDER,FEMALE
13,GENDER,NEUTRAL
13,PIECE,ALL
13,STYLE,FORMAL
13,STYLE,AVANTGARDE
13,PRICE,LUXURY
13,MUSIC,POPINDIE
13,MUSIC,ROCK
13,MOOD,FUNEXCITED
13,PERSONALITY,ADVENTUROUS
13,PERSONALITY,OPENKIND
14,GENDER,FEMALE
14,PIECE,CLOTHING
14,PIECE,ACCESSORIES
14,STYLE,CASUAL
14,STYLE,FORMAL
14,PRICE,LUXURY
14,MUSIC,POPINDIE
14,MUSIC,ROCK
14,MUSIC,CLUBDANCE
14,MOOD,FOCUSED
14,PERSONALITY,SELFCENTERED
14,PERSONALITY,OPENKIND
15,GENDER,FEMALE
15,GENDER,MALE
15,GENDER,NEUTRAL
15,PIECE,CLOTHING
15,PIECE,ACCESSORIES
15,STYLE,CASUAL
15,STYLE,FORMAL
15,STYLE,AVANTGARDE
15,PRICE,CONTEMPRORARY
15,PRICE,LUXURY
15,MUSIC,ROCK
15,MUSIC,CLUBDANCE
15,MOOD,CHILLRELAXED
16,GENDER,NEUTRAL
16,GENDER,MALE
16,GENDER,FEMALE
16,PIECE,CLOTHING
16,STYLE,CASUAL
16,STYLE,FORMAL
16,PRICE,MASSMARKET
16,PRICE,CONTEMPRORARY
16,MUSIC,ROCK
16,MUSIC,CLUBDANCE
16,MOOD,CHILLRELAXED
16,MOOD,FOCUSED
16,PERSONALITY,SELFCENTERED
16,PERSONALITY,OPENKIND
17,